SENTENCE,DETAILS
"""The Shining One.""",Shining<<VBG>> One<<NN>>
He spoke low.,spoke<<VBD>> low<<JJ>>
"""An' now again I see the faces of those who dance with it.",'<<''>> now<<RB>> again<<RB>> see<<VBP>> faces<<VBZ>> dance<<VBP>>
"It is the Fires of Mora--come, God alone knows how--from Erin--to this place.",is<<VBZ>> Fires<<NNS>> Mora<<NNP>> come<<VB>> God<<NNP>> alone<<RB>> knows<<VBZ>> how<<WRB>> Erin<<NNP>> place<<NN>>
"The Fires of Mora!""",Fires<<NNP>> Mora<<NNP>>
"He contemplated the hushed folk before him; and then from his lips came that weirdest, most haunting of the lyric legends of Erin--the Curse of Mora: ""The fretted fires of Mora blew o'er him in the night; He thrills no more to loving, nor weeps for past delight.",contemplated<<VBD>> hushed<<VBN>> folk<<NN>> then<<RB>> lips<<NNS>> came<<VBD>> weirdest<<JJS>> most<<RBS>> haunting<<NN>> lyric<<JJ>> legends<<NNS>> Erin<<NNP>> Curse<<NNP>> Mora<<NNP>> fretted<<JJ>> fires<<NNS>> Mora<<NNP>> blew<<VBD>> night<<NN>> thrills<<VBZ>> more<<JJR>> loving<<NN>> weeps<<NNS>> past<<JJ>> delight<<NN>>
"For when those flames have bitten, both grief and joy take flight--"" Again Yolara tried to draw him down beside her; and once more he gripped her hand.",when<<WRB>> flames<<NNS>> have<<VBP>> bitten<<VBN>> grief<<NN>> joy<<NN>> take<<VB>> flight<<NN>> Again<<NNP>> Yolara<<NNP>> tried<<VBD>> draw<<VB>> beside<<RB>> once<<RB>> more<<JJR>> gripped<<VBD>> hand<<NN>>
"His eyes grew fixed--he crooned: ""And through the sleeping silence his feet must track the tune, When the world is barred and speckled with silver of the moon--"" He stood, swaying, for a moment, and then, laughing, let the priestess have her way; drained again the glass.",eyes<<NNS>> grew<<VBD>> fixed<<RB>> crooned<<VBD>> sleeping<<VBG>> silence<<NN>> feet<<NNS>> must<<MD>> track<<VB>> tune<<NN>> When<<WRB>> world<<NN>> is<<VBZ>> barred<<VBN>> speckled<<VBN>> silver<<NN>> moon<<NN>> stood<<VBD>> swaying<<VBG>> moment<<NN>> then<<RB>> laughing<<VBG>> let<<VB>> priestess<<NN>> have<<VBP>> way<<NN>> drained<<VBN>> again<<RB>> glass<<NN>>
"And now my heart was cold, indeed--for what hope was there left with Larry mad, wild drunk!",now<<RB>> heart<<NN>> was<<VBD>> cold<<JJ>> indeed<<RB>> hope<<NN>> was<<VBD>> left<<VBN>> Larry<<NNP>> mad<<NN>> wild<<JJ>> drunk<<NN>>
The silence was unbroken--elfin women and dwarfs glancing furtively at each other.,silence<<NN>> was<<VBD>> unbroken<<JJ>> elfin<<JJ>> women<<NNS>> dwarfs<<VB>> glancing<<VBG>> furtively<<RB>> other<<JJ>>
"But now Yolara arose, face set, eyes flashing grey.",now<<RB>> Yolara<<NNP>> arose<<NN>> face<<NN>> set<<NN>> eyes<<NNS>> flashing<<VBG>> grey<<NN>>
"""Hear you, the Council, and you, Lugur--and all who are here!""",Hear<<NNP>> Council<<NNP>> Lugur<<NNP>> are<<VBP>> here<<RB>>
she cried.,cried<<VBD>>
"""Now I, the priestess of the Shining One, take, as is my right, my mate.",Now<<RB>> priestess<<NN>> Shining<<VBG>> One<<CD>> take<<VB>> is<<VBZ>> right<<NN>> mate<<NN>>
"And this is he!""",is<<VBZ>>
She pointed down upon Larry.,pointed<<VBD>> down<<RB>> upon<<JJ>> Larry<<NNP>>
He glanced up at her.,glanced<<VBD>>
"""Can't quite make out what you say, Yolara,"" he muttered thickly.",Ca<<VBP>> n't<<RB>> quite<<RB>> make<<VB>> say<<VBP>> Yolara<<NNP>> muttered<<VBD>> thickly<<RB>>
"""But say anything--you like--I love your voice!""",say<<VBP>> anything<<NN>> like<<VBP>> love<<VBP>> voice<<NN>>
I turned sick with dread.,turned<<VBD>> sick<<JJ>> dread<<NN>>
Yolara's hand stole softly upon the Irishman's curls caressingly.,Yolara<<NN>> 's<<POS>> hand<<NN>> stole<<NN>> softly<<RB>> Irishman<<NNP>> 's<<POS>> curls<<NN>> caressingly<<RB>>
"""You know the law, Yolara.""",know<<VBP>> law<<NN>> Yolara<<NNP>>
"Lugur's voice was flat, deadly, ""You may not mate with other than your own kind.",Lugur<<NNP>> 's<<POS>> voice<<NN>> was<<VBD>> flat<<JJ>> deadly<<RB>> may<<MD>> not<<RB>> mate<<VB>> other<<JJ>> own<<JJ>> kind<<NN>>
"And this man is a stranger--a barbarian--food for the Shining One!""",man<<NN>> is<<VBZ>> stranger<<NN>> barbarian<<JJ>> food<<NN>> Shining<<VBG>> One<<NN>>
"Literally, he spat the phrase.",Literally<<RB>> spat<<VBD>> phrase<<NN>>
"""No, not of our kind--Lugur--higher!""",No<<RB>> not<<RB>> kind<<NN>> Lugur<<NNP>> higher<<JJR>>
Yolara answered serenely.,Yolara<<NN>> answered<<VBD>> serenely<<RB>>
"""Lo, a son of Siya and of Siyana!""",Lo<<NNP>> son<<NN>> Siya<<NNP>> Siyana<<NNP>>
"""A lie!""",lie<<NN>>
roared the red dwarf.,roared<<VBD>> red<<JJ>> dwarf<<NN>>
"""A lie!""",lie<<NN>>
"""The Shining One revealed it to me!""",Shining<<VBG>> One<<CD>> revealed<<VBD>>
said Yolara sweetly.,said<<VBD>> Yolara<<NNP>> sweetly<<RB>>
"""And if ye believe not, Lugur--go ask of the Shining One if it be not truth!""",ye<<NNS>> believe<<VBP>> not<<RB>> Lugur<<NNP>> go<<VBP>> ask<<NN>> Shining<<VBG>> One<<CD>> be<<VB>> not<<RB>> truth<<JJ>>
"There was bitter, nameless menace in those last words--and whatever their hidden message to Lugur, it was potent.",was<<VBD>> bitter<<NN>> nameless<<JJ>> menace<<NN>> last<<JJ>> words<<NNS>> hidden<<JJ>> message<<NN>> Lugur<<NNP>> was<<VBD>> potent<<NN>>
"He stood, choking, face hell-shadowed--Marakinoff leaned out again, whispered.",stood<<VBD>> choking<<VBG>> face<<NN>> hell-shadowed<<CD>> Marakinoff<<NNP>> leaned<<VBD>> again<<RB>> whispered<<VBD>>
"The red dwarf bowed, now wholly ironically; resumed his place and his silence.",red<<JJ>> dwarf<<NN>> bowed<<VBD>> now<<RB>> wholly<<RB>> ironically<<RB>> resumed<<VBD>> place<<NN>> silence<<NN>>
"And again I wondered, icy-hearted, what was the power the Russian had so to sway Lugur.",again<<RB>> wondered<<VBD>> icy-hearted<<JJ>> was<<VBD>> power<<NN>> Russian<<NNP>> had<<VBD>> so<<RB>> sway<<VB>> Lugur<<NNP>>
"""What says the Council?""",says<<VBZ>> Council<<NNP>>
"Yolara demanded, turning to them.",Yolara<<NNP>> demanded<<VBD>> turning<<VBG>>
Only for a moment they consulted among themselves.,Only<<RB>> moment<<NN>> consulted<<VBD>>
"Then the woman, whose face was a ravaged shrine of beauty, spoke.",Then<<RB>> woman<<NN>> whose<<WP$>> face<<NN>> was<<VBD>> ravaged<<JJ>> shrine<<NN>> beauty<<NN>> spoke<<VBD>>
"""The will of the priestess is the will of the Council!""",will<<MD>> priestess<<NN>> is<<VBZ>> will<<MD>> Council<<NN>>
she answered.,answered<<VBD>>
Defiance died from Yolara's face; she looked down at Larry tenderly.,Defiance<<NNP>> died<<VBD>> Yolara<<NNP>> 's<<POS>> face<<NN>> looked<<VBD>> down<<RB>> Larry<<NNP>> tenderly<<RB>>
"He sat swaying, crooning.",sat<<VBD>> swaying<<VBG>> crooning<<VBG>>
"""Bid the priests come,"" she commanded, then turned to the silent room.",Bid<<VB>> priests<<NNS>> come<<VBP>> commanded<<VBD>> then<<RB>> turned<<VBD>> silent<<JJ>> room<<NN>>
"""By the rites of Siya and Siyana, Yolara takes their son for her mate!""",rites<<NNS>> Siya<<NNP>> Siyana<<NNP>> Yolara<<NNP>> takes<<VBZ>> son<<NN>> mate<<NN>>
"And again her hand stole down possessingly, serpent soft, to the drunken head of the O'Keefe.",again<<RB>> hand<<NN>> stole<<VBD>> down<<RB>> possessingly<<RB>> serpent<<JJ>> soft<<JJ>> drunken<<JJ>> head<<NN>> O'Keefe<<NNP>>
The curtains parted widely.,curtains<<NNS>> parted<<VBD>> widely<<RB>>
"Through them filed, two by two, twelve hooded figures clad in flowing robes of the green one sees in forest vistas of opening buds of dawning spring.",filed<<VBD>> two<<CD>> two<<CD>> twelve<<NNS>> hooded<<VBD>> figures<<NNS>> clad<<VBN>> flowing<<VBG>> robes<<NNS>> green<<JJ>> one<<CD>> sees<<VBZ>> forest<<JJS>> vistas<<NNS>> opening<<VBG>> buds<<NN>> dawning<<VBG>> spring<<NN>>
"Of each pair one bore clasped to breast a globe of that milky crystal in the sapphire shrine-room; the other a harp, small, shaped somewhat like the ancient clarsach of the Druids.",pair<<NN>> one<<CD>> bore<<NN>> clasped<<VBD>> breast<<VB>> globe<<NN>> milky<<JJ>> crystal<<NN>> sapphire<<NN>> shrine-room<<NN>> other<<JJ>> harp<<NN>> small<<JJ>> shaped<<VBD>> somewhat<<RB>> ancient<<JJ>> clarsach<<NN>> Druids<<NNP>>
"Two by two they stepped upon the raised platform, placed gently upon it each their globe; and two by two crouched behind them.",Two<<CD>> two<<CD>> stepped<<VBD>> raised<<VBN>> platform<<NN>> placed<<VBN>> gently<<RB>> globe<<NN>> two<<CD>> two<<CD>> crouched<<NNS>>
"They formed now a star of six points about the petalled dais, and, simultaneously, they drew from their faces the covering cowls.",formed<<VBD>> now<<RB>> star<<NN>> six<<CD>> points<<NNS>> petalled<<JJ>> dais<<NN>> simultaneously<<RB>> drew<<VBD>> faces<<VBZ>> covering<<VBG>> cowls<<NN>>
"I half-rose--youths and maidens these of the fair-haired; and youths and maids more beautiful than any of those I had yet seen--for upon their faces was little of that disturbing mockery to which I have been forced so often, because of the deep impression it made upon me, to refer.",half-rose<<VBP>> youths<<NNS>> maidens<<VBZ>> fair-haired<<JJ>> youths<<NNS>> maids<<NNS>> more<<RBR>> beautiful<<JJ>> had<<VBD>> yet<<RB>> seen<<VBN>> faces<<VBZ>> was<<VBD>> little<<JJ>> disturbing<<VBG>> mockery<<NN>> have<<VBP>> been<<VBN>> forced<<VBN>> so<<RB>> often<<RB>> deep<<JJ>> impression<<NN>> made<<VBD>> refer<<VB>>
The ashen-gold of the maiden priestesses' hair was wound about their brows in shining coronals.,ashen-gold<<NN>> maiden<<JJ>> priestesses<<NNS>> '<<POS>> hair<<NN>> was<<VBD>> wound<<VBN>> brows<<NNS>> shining<<VBG>> coronals<<NNS>>
"The pale locks of the youths were clustered within circlets of translucent, glimmering gems like moonstones.",pale<<NN>> locks<<NNS>> youths<<NNS>> were<<VBD>> clustered<<VBN>> circlets<<NNS>> translucent<<NN>> glimmering<<VBG>> gems<<NNS>> moonstones<<NNS>>
"And then, crystal globe alternately before and harp alternately held by youth and maid, they began to sing.",then<<RB>> crystal<<JJ>> globe<<NN>> alternately<<RB>> harp<<VB>> alternately<<RB>> held<<VBN>> youth<<NN>> maid<<NN>> began<<VBD>> sing<<VBG>>
"What was that song, I do not know--nor ever shall.",was<<VBD>> song<<NN>> do<<VBP>> not<<RB>> know<<VB>> ever<<RB>> shall<<MD>>
"Archaic, ancient beyond thought, it seemed--not with the ancientness of things that for uncounted ages have been but wind-driven dust.",Archaic<<NNP>> ancient<<JJ>> thought<<NN>> seemed<<VBD>> not<<RB>> ancientness<<NN>> things<<NNS>> uncounted<<JJ>> ages<<NNS>> have<<VBP>> been<<VBN>> wind-driven<<JJ>> dust<<NN>>
"Rather was it the ancientness of the golden youth of the world, love lilts of earth younglings, with light of new-born suns drenching them, chorals of young stars mating in space; murmurings of April gods and goddesses.",Rather<<RB>> was<<VBD>> ancientness<<NN>> golden<<JJ>> youth<<NN>> world<<NN>> love<<VBP>> lilts<<NNS>> earth<<NN>> younglings<<NNS>> light<<NN>> new-born<<JJ>> suns<<NNS>> drenching<<VBG>> chorals<<NNS>> young<<JJ>> stars<<NNS>> mating<<VBG>> space<<NN>> murmurings<<NNS>> April<<NNP>> gods<<NNS>> goddesses<<NNS>>
A languor stole through me.,languor<<NN>> stole<<NN>>
"The rosy lights upon the tripods began to die away, and as they faded the milky globes gleamed forth brighter, ever brighter.",rosy<<JJ>> lights<<NNS>> tripods<<NNS>> began<<VBD>> die<<VB>> away<<RB>> faded<<VBD>> milky<<NN>> globes<<NN>> gleamed<<VBD>> forth<<JJ>> brighter<<NN>> ever<<RB>> brighter<<NN>>
"Yolara rose, stretched a hand to Larry, led him through the sextuple groups, and stood face to face with him in the centre of their circle.",Yolara<<NN>> rose<<VBD>> stretched<<VBD>> hand<<NN>> Larry<<NNP>> led<<VBD>> sextuple<<NN>> groups<<NNS>> stood<<VBD>> face<<NN>> face<<VB>> centre<<NN>> circle<<NN>>
"The rose-light died; all that immense chamber was black, save for the circle of the glowing spheres.",rose-light<<JJ>> died<<VBD>> all<<PDT>> immense<<JJ>> chamber<<NN>> was<<VBD>> black<<JJ>> save<<VB>> circle<<NN>> glowing<<NN>> spheres<<NNS>>
Within this their milky radiance grew brighter--brighter.,milky<<NN>> radiance<<NN>> grew<<VBD>> brighter<<NN>> brighter<<NN>>
The song whispered away.,song<<NN>> whispered<<VBD>> away<<RB>>
"A throbbing arpeggio dripped from the harps, and as the notes pulsed out, up from the globes, as though striving to follow, pulsed with them tips of moon-fire cones, such as I had seen before Yolara's altar.",throbbing<<NN>> arpeggio<<NN>> dripped<<VBD>> harps<<NN>> notes<<NNS>> pulsed<<VBD>> up<<RB>> globes<<NNS>> striving<<VBG>> follow<<VB>> pulsed<<VBN>> tips<<NNS>> moon-fire<<NN>> cones<<NNS>> such<<JJ>> had<<VBD>> seen<<VBN>> Yolara<<NNP>> 's<<POS>> altar<<NN>>
"Weirdly, caressingly, compellingly the harp notes throbbed in repeated, re-repeated theme, holding within itself the same archaic golden quality I had noted in the singing.",Weirdly<<RB>> caressingly<<RB>> compellingly<<RB>> harp<<NN>> notes<<NNS>> throbbed<<VBD>> repeated<<VBN>> re-repeated<<JJ>> theme<<NN>> holding<<VBG>> same<<JJ>> archaic<<JJ>> golden<<JJ>> quality<<NN>> had<<VBD>> noted<<VBN>> singing<<NN>>
And over the moon flame pinnacles rose higher!,moon<<NN>> flame<<NN>> pinnacles<<NNS>> rose<<VBD>> higher<<JJR>>
Yolara lifted her arms; within her hands were clasped O'Keefe's.,Yolara<<NN>> lifted<<VBD>> arms<<NNS>> hands<<NNS>> were<<VBD>> clasped<<VBN>> O'Keefe<<NNP>> 's<<POS>>
"She raised them above their two heads and slowly, slowly drew him with her into a circling, graceful step, tendrillings delicate as the slow spirallings of twilight mist upon some still stream.",raised<<VBD>> two<<CD>> heads<<NNS>> slowly<<RB>> slowly<<RB>> drew<<VBD>> circling<<NN>> graceful<<JJ>> step<<NN>> tendrillings<<NNS>> delicate<<VBP>> slow<<JJ>> spirallings<<NNS>> twilight<<JJ>> mist<<NN>> still<<RB>> stream<<NN>>
"As they swayed the rippling arpeggios grew louder, and suddenly the slender pinnacles of moon fire bent, dipped, flowed to the floor, crept in a shining ring around those two--and began to rise, a gleaming, glimmering, enchanted barrier--rising, ever rising--hiding them!",swayed<<VBD>> rippling<<NN>> arpeggios<<NNS>> grew<<VBD>> louder<<NN>> suddenly<<RB>> slender<<NN>> pinnacles<<NNS>> moon<<NN>> fire<<NN>> bent<<NN>> dipped<<VBD>> flowed<<VBD>> floor<<NN>> crept<<NN>> shining<<VBG>> ring<<NN>> two<<CD>> began<<VBD>> rise<<VB>> gleaming<<NN>> glimmering<<NN>> enchanted<<VBN>> barrier<<NN>> rising<<NN>> ever<<RB>> rising<<VBG>> hiding<<VBG>>
"With one swift movement Yolara unbound her circlet of pale sapphires, shook loose the waves of her silken hair.",one<<CD>> swift<<NN>> movement<<NN>> Yolara<<NNP>> circlet<<NN>> pale<<JJ>> sapphires<<NNS>> shook<<VBD>> loose<<RB>> waves<<NNS>> silken<<JJ>> hair<<NN>>
"It fell, a rippling, wondrous cascade, veiling both her and O'Keefe to their girdles--and now the shining coils of moon fire had crept to their knees--was circling higher--higher.",fell<<VBD>> rippling<<NN>> wondrous<<JJ>> cascade<<NN>> veiling<<VBG>> O'Keefe<<NNP>> girdles<<NNS>> now<<RB>> shining<<VBG>> coils<<NNS>> moon<<NN>> fire<<NN>> had<<VBD>> crept<<VBN>> knees<<NNS>> was<<VBD>> circling<<VBG>> higher<<JJR>> higher<<JJR>>
And ever despair grew deeper in my soul!,ever<<RB>> despair<<NN>> grew<<VBD>> deeper<<JJR>> soul<<NN>>
What was that!,was<<VBD>>
"I started to my feet, and all around me in the darkness I heard startled motion.",started<<VBD>> feet<<NNS>> darkness<<NN>> heard<<VBD>> startled<<VBN>> motion<<NN>>
"From without came a blaring of trumpets, the sound of running men, loud murmurings.",came<<VBD>> blaring<<NN>> trumpets<<NNS>> sound<<NN>> running<<VBG>> men<<NNS>> loud<<JJ>> murmurings<<NNS>>
The tumult drew closer.,tumult<<NN>> drew<<VBD>> closer<<JJR>>
"I heard cries of ""Lakla!",heard<<VBD>> cries<<NNS>> Lakla<<NNP>>
"Lakla!""",Lakla<<NN>>
"Now it was at the very threshold and within it, oddly, as though--punctuating--the clamour, a deep-toned, almost abysmal, booming sound--thunderously bass and reverberant.",Now<<RB>> was<<VBD>> very<<RB>> threshold<<JJ>> oddly<<RB>> punctuating<<NN>> clamour<<NN>> deep-toned<<JJ>> almost<<RB>> abysmal<<JJ>> booming<<JJ>> sound<<NN>> thunderously<<RB>> bass<<NN>> reverberant<<NN>>
"Abruptly the harpings ceased; the moon fires shuddered, fell, and began to sweep back into the crystal globes; Yolara's swaying form grew rigid, every atom of it listening.",Abruptly<<RB>> harpings<<NNS>> ceased<<VBD>> moon<<NN>> fires<<NNS>> shuddered<<VBD>> fell<<VBD>> began<<VBD>> sweep<<VB>> back<<RB>> crystal<<JJ>> globes<<NN>> Yolara<<NNP>> 's<<POS>> swaying<<VBG>> form<<NN>> grew<<VBD>> rigid<<JJ>> atom<<NN>> listening<<VBG>>
"She threw aside the veiling cloud of hair, and in the gleam of the last retreating spirals her face glared out like some old Greek mask of tragedy.",threw<<VBD>> aside<<RB>> veiling<<VBG>> cloud<<NN>> hair<<NN>> gleam<<NN>> last<<JJ>> retreating<<NN>> spirals<<NNS>> face<<NN>> glared<<VBD>> old<<JJ>> Greek<<JJ>> mask<<NN>> tragedy<<NN>>
"The sweet lips that even at their sweetest could never lose their delicate cruelty, had no sweetness now.",sweet<<JJ>> lips<<NNS>> even<<RB>> sweetest<<NN>> could<<MD>> never<<RB>> lose<<VB>> delicate<<NN>> cruelty<<NN>> had<<VBD>> sweetness<<NN>> now<<RB>>
"They were drawn into a square--inhuman as that of the Medusa; in her eyes were the fires of the pit, and her hair seemed to writhe like the serpent locks of that Gorgon whose mouth she had borrowed; all her beauty was transformed into a nameless thing--hideous, inhuman, blasting!",were<<VBD>> drawn<<VBN>> square<<NN>> inhuman<<NN>> Medusa<<NNP>> eyes<<NNS>> were<<VBD>> fires<<NNS>> pit<<NN>> hair<<NN>> seemed<<VBD>> writhe<<VB>> serpent<<NN>> locks<<NNS>> Gorgon<<NNP>> whose<<WP$>> mouth<<NN>> had<<VBD>> borrowed<<VBN>> beauty<<NN>> was<<VBD>> transformed<<VBN>> nameless<<JJ>> thing<<NN>> hideous<<JJ>> inhuman<<JJ>> blasting<<NN>>
"If this was the true soul of Yolara springing to her face, then, I thought, God help us in very deed!",was<<VBD>> true<<JJ>> soul<<NN>> Yolara<<NNP>> springing<<VBG>> face<<NN>> then<<RB>> thought<<VBD>> God<<NNP>> help<<VBP>> very<<RB>> deed<<NN>>
I wrested my gaze away to O'Keefe.,wrested<<VBD>> gaze<<NN>> away<<RB>> O'Keefe<<NNP>>
"All drunkenness gone, himself again, he was staring down at her, and in his eyes were loathing and horror unutterable.",drunkenness<<NN>> gone<<VBN>> again<<RB>> was<<VBD>> staring<<VBG>> eyes<<NNS>> were<<VBD>> loathing<<VBG>> horror<<NN>> unutterable<<JJ>>
So they stood--and the light fled.,stood<<VBD>> light<<NN>> fled<<VBD>>
Only for a moment did the darkness hold.,Only<<RB>> moment<<NN>> did<<VBD>> darkness<<NN>> hold<<NN>>
With lightning swiftness the blackness that was the chamber's other wall vanished.,lightning<<VBG>> swiftness<<NN>> blackness<<NN>> was<<VBD>> chamber<<NN>> 's<<POS>> other<<JJ>> wall<<NN>> vanished<<NNS>>
"Through a portal open between grey screens, the silver sparkling radiance poured.",portal<<JJ>> open<<JJ>> grey<<NN>> screens<<NNS>> silver<<NN>> sparkling<<VBG>> radiance<<NN>> poured<<VBD>>
"And through the portal marched, two by two, incredible, nightmare figures--frog-men, giants, taller by nearly a yard than even tall O'Keefe!",portal<<NN>> marched<<VBD>> two<<CD>> two<<CD>> incredible<<JJ>> nightmare<<JJ>> figures<<NNS>> frog-men<<NNS>> giants<<NNS>> taller<<NN>> nearly<<RB>> yard<<NN>> even<<RB>> tall<<JJ>> O'Keefe<<NNP>>
"Their enormous saucer eyes were irised by wide bands of green-flecked red, in which the phosphorescence flickered.",enormous<<JJ>> saucer<<NN>> eyes<<NNS>> were<<VBD>> irised<<VBN>> wide<<JJ>> bands<<NNS>> green-flecked<<JJ>> red<<JJ>> phosphorescence<<NN>> flickered<<VBD>>
"Their long muzzles, lips half-open in monstrous grin, held rows of glistening, slender, lancet sharp fangs.",long<<JJ>> muzzles<<NNS>> lips<<VBZ>> half-open<<JJ>> monstrous<<JJ>> grin<<NN>> held<<VBD>> rows<<NNS>> glistening<<NN>> slender<<NN>> lancet<<JJ>> sharp<<JJ>> fangs<<NNS>>
"Over the glaring eyes arose a horny helmet, a carapace of black and orange scales, studded with foot-long lance-headed horns.",glaring<<JJ>> eyes<<NNS>> arose<<VBD>> horny<<NN>> helmet<<NN>> carapace<<NN>> black<<JJ>> orange<<NN>> scales<<NNS>> studded<<VBN>> foot-long<<JJ>> lance-headed<<JJ>> horns<<NNS>>
"They lined themselves like soldiers on each side of the wide table aisle, and now I could see that their horny armour covered shoulders and backs, ran across the chest in a knobbed cuirass, and at wrists and heels jutted out into curved, murderous spurs.",lined<<VBD>> soldiers<<NNS>> side<<NN>> wide<<JJ>> table<<JJ>> aisle<<NN>> now<<RB>> could<<MD>> see<<VB>> horny<<NN>> armour<<NN>> covered<<VBD>> shoulders<<NNS>> backs<<NNS>> ran<<VBD>> chest<<NN>> knobbed<<JJ>> cuirass<<NN>> wrists<<NNS>> heels<<NNS>> jutted<<VBN>> curved<<VBN>> murderous<<JJ>> spurs<<NNS>>
"The webbed hands and feet ended in yellow, spade-shaped claws.",webbed<<JJ>> hands<<NNS>> feet<<NNS>> ended<<VBD>> yellow<<JJ>> spade-shaped<<JJ>> claws<<NN>>
"They carried spears, ten feet, at least, in length, the heads of which were pointed cones, glistening with that same covering, from whose touch of swift decay I had so narrowly saved Rador.",carried<<VBD>> spears<<NNS>> ten<<JJ>> feet<<NNS>> least<<JJS>> length<<NN>> heads<<NNS>> were<<VBD>> pointed<<VBN>> cones<<NNS>> glistening<<VBG>> same<<JJ>> covering<<NN>> whose<<WP$>> touch<<NN>> swift<<JJ>> decay<<NN>> had<<VBD>> so<<RB>> narrowly<<RB>> saved<<JJ>> Rador<<NNP>>
"They were grotesque, yes--more grotesque than anything I had ever seen or dreamed, and they were--terrible!",were<<VBD>> grotesque<<NNS>> yes<<RB>> more<<JJR>> grotesque<<NN>> anything<<NN>> had<<VBD>> ever<<RB>> seen<<VBN>> dreamed<<VBN>> were<<VBD>> terrible<<JJ>>
"And then, quietly, through their ranks came--a girl!",then<<RB>> quietly<<RB>> ranks<<NNS>> came<<VBD>> girl<<NN>>
"Behind her, enormous pouch at his throat swelling in and out menacingly, in one paw a treelike, spike-studded mace, a frog-man, huger than any of the others, guarding.",enormous<<JJ>> pouch<<NN>> throat<<NN>> swelling<<VBG>> menacingly<<RB>> one<<CD>> paw<<NN>> treelike<<NN>> spike-studded<<JJ>> mace<<NN>> frog-man<<JJ>> huger<<JJR>> others<<NNS>> guarding<<VBG>>
"But of him I caught but a fleeting, involuntary impression--all my gaze was for her.",caught<<VBD>> fleeting<<NN>> involuntary<<JJ>> impression<<NN>> gaze<<NN>> was<<VBD>>
For it was she who had pointed out to us the way from the peril of the Dweller's lair on Nan-Tauach.,was<<VBD>> had<<VBD>> pointed<<VBN>> way<<NN>> peril<<NN>> Dweller<<NNP>> 's<<POS>> lair<<NN>> Nan-Tauach<<NNP>>
"And as I looked at her, I marvelled that ever could I have thought the priestess more beautiful.",looked<<VBD>> marvelled<<VBD>> ever<<RB>> could<<MD>> have<<VBP>> thought<<VBN>> priestess<<NN>> more<<RBR>> beautiful<<JJ>>
Into the eyes of O'Keefe rushed joy and an utter abasement of shame.,eyes<<NNS>> O'Keefe<<NNP>> rushed<<VBD>> joy<<NN>> utter<<JJ>> abasement<<NN>> shame<<NN>>
"And from all about came murmurs--edged with anger, half-incredulous, tinged with fear: ""Lakla!""",came<<VBD>> murmurs<<NNS>> edged<<VBD>> anger<<NN>> half-incredulous<<JJ>> tinged<<VBN>> fear<<NN>> Lakla<<FW>>
"""Lakla!""",Lakla<<NN>>
"""The handmaiden!""",handmaiden<<NN>>
She halted close beside me.,halted<<VBD>> close<<JJ>>
"From firm little chin to dainty buskined feet she was swathed in the soft robes of dull, almost coppery hue.",firm<<JJ>> little<<RB>> chin<<JJ>> dainty<<VB>> buskined<<JJ>> feet<<NNS>> was<<VBD>> swathed<<VBN>> soft<<JJ>> robes<<NNS>> dull<<NN>> almost<<RB>> coppery<<NN>> hue<<NN>>
"The left arm was hidden, the right free and gloved.",left<<JJ>> arm<<NN>> was<<VBD>> hidden<<VBN>> right<<JJ>> free<<JJ>> gloved<<VBD>>
Wound tight about it was one of the vines of the sculptured wall and of Lugur's circled signet-ring.,Wound<<NNP>> tight<<VBD>> was<<VBD>> one<<CD>> vines<<NNS>> sculptured<<VBN>> wall<<NN>> Lugur<<NNP>> 's<<POS>> circled<<JJ>> signet-ring<<NN>>
"Thick, a vivid green, its five tendrils ran between her fingers, stretching out five flowered heads that gleamed like blossoms cut from gigantic, glowing rubies.",Thick<<NNP>> vivid<<NN>> green<<NN>> five<<CD>> tendrils<<NNS>> ran<<NN>> fingers<<NNS>> stretching<<VBG>> five<<CD>> flowered<<JJ>> heads<<NNS>> gleamed<<VBD>> blossoms<<NNS>> cut<<VBN>> gigantic<<JJ>> glowing<<VBG>> rubies<<NNS>>
So she stood contemplating Yolara.,stood<<VBD>> contemplating<<VBG>> Yolara<<NNP>>
"Then drawn perhaps by my gaze, she dropped her eyes upon me; golden, translucent, with tiny flecks of amber in their aureate irises, the soul that looked through them was as far removed from that flaming out of the priestess as zenith is above nadir.",Then<<RB>> drawn<<VBN>> perhaps<<RB>> gaze<<NN>> dropped<<VBD>> eyes<<NNS>> golden<<JJ>> translucent<<JJ>> tiny<<JJ>> flecks<<NNS>> amber<<NN>> aureate<<NN>> irises<<NNS>> soul<<NN>> looked<<VBD>> was<<VBD>> far<<RB>> removed<<VBN>> flaming<<VBG>> priestess<<NN>> zenith<<NN>> is<<VBZ>> nadir<<NN>>
"I noted the low, broad brow, the proud little nose, the tender mouth, and the soft--sunlight--glow that seemed to transfuse the delicate skin.",noted<<VBD>> low<<JJ>> broad<<JJ>> brow<<NN>> proud<<JJ>> little<<JJ>> nose<<JJ>> tender<<NN>> mouth<<NN>> soft<<JJ>> sunlight<<NN>> glow<<VB>> seemed<<VBD>> transfuse<<VB>> delicate<<JJ>> skin<<NN>>
